model,scoring,params,param_clf__class_weight,param_clf__n_estimators,accuracy_test,precision_test,recall_test,fbeta_score_test,rank_test_accuracy,mean_test_accuracy,mean_train_accuracy,std_test_accuracy,std_train_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 5}",balanced,5,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,22,0.762827869234953,0.963362781020952,0.00288747913493205,0.000925898735169526,7.235077699025472,0.08494229032450099,2.8235490322113037,0.08008099665682429,0.7636900318925154,0.7589400827848273,0.7658534930275167,0.9630176260030197,0.9646292432184844,0.9624414738413517
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 10}",balanced,10,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,19,0.7838183384832845,0.9727779670199017,0.0018535776753263985,0.000880433530111528,7.839778979619344,0.02098007908486636,2.369844357172648,0.016555494182308658,0.7851326592929362,0.7811969871751374,0.78512536898178,0.9733489405737358,0.9734507269241861,0.9715342335617833
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 25}",balanced,25,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,18,0.7843385771441352,0.9903982105842482,0.0012188739624959908,0.00030560742104838176,13.83904759089152,0.037755497151379915,5.2037153244018555,0.12268638535657972,0.7846237361742553,0.78272375653118,0.7856682387269704,0.9907883352842384,0.990364225490695,0.9900420709778109
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 50}",balanced,50,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,16,0.7887266779371753,0.9922077356308668,0.001342676991831902,0.00039812696713188066,17.60206214586894,0.05984150391022699,2.675705671310425,0.11931223851825248,0.7888308339553505,0.7870326389360114,0.7903165609201642,0.9927562047262796,0.9920437002731267,0.991823301893194
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 75}",balanced,75,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,15,0.789065975748848,0.9926318433139816,0.0019483906989877322,0.0003753012883708016,26.15749192237854,0.2619605444368043,9.675526777903238,0.05361834953425566,0.7884236954604058,0.7870665671439234,0.7917076646422149,0.993112456952856,0.9925865608088622,0.9921965121802266
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 100}",balanced,100,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,11,0.7900159743959637,0.9926883915742398,0.0019790871650343673,0.0004502757105153421,33.891124407450356,0.42368405131672043,3.3177053133646646,0.29752310162545303,0.7899165366085363,0.7876433466784284,0.7924880399009263,0.9932481720867898,0.9926713827675708,0.9921456198683586
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 125}",balanced,125,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,12,0.7898689456384247,0.9926997007850199,0.0017952677859245823,0.0004017159701608732,38.72661821047465,0.16057851815139518,11.210651795069376,0.14488658342904687,0.7901540340639207,0.7875415620546923,0.7919112407966613,0.9931972789115646,0.9926883471593126,0.9922134762841827
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 150}",balanced,150,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,8,0.7904004913995882,0.9927562484697067,0.0019052213384781118,0.0004161813266170238,50.25231162707011,0.1960657497002286,3.4552226861317954,0.1131013586306214,0.7911718803012825,0.7877790595100767,0.7922505343874054,0.9932821008702732,0.992722275942796,0.9922643685960507
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 200}",balanced,200,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,4,0.7908868010850854,0.9927675580642011,0.0018896693499298963,0.0004228874696649206,57.20840295155843,0.4577797983720772,12.430213689804077,0.1661187537620941,0.7916468752120513,0.7882879826287575,0.7927255454144472,0.9932990652620151,0.9927392403345378,0.9922643685960507
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 250}",balanced,250,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,7,0.7905362053823987,0.9927788674668386,0.001878696496475114,0.0004174102608805005,77.63994693756104,0.1800401250559597,7.338249206542969,0.3363035081072701,0.7913075931329308,0.787948700549637,0.7923523224646286,0.9933160296537568,0.992722275942796,0.9922982968039629
RF,accuracy,"{'clf__class_weight': 'balanced', 'clf__n_estimators': 300}",balanced,300,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,6,0.7907737116633612,0.9928127961543934,0.0021949454321108187,0.0004233418404431436,61.6193376382192,0.1306378713868538,4.407366673151652,0.15001900722457104,0.7913415213408428,0.7878469159259008,0.79313269772334,0.9933499584372403,0.9927731691180213,0.9923152609079189
RF,accuracy,"{'clf__class_weight': None, 'clf__n_estimators': 5}",,5,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,21,0.763087991251424,0.9644145672654396,0.0029848810928878437,0.0006432148782684499,21.897101084391277,0.356043528223257,9.657161315282186,0.43389845201314664,0.7637578883083396,0.7591436520322996,0.7663624334136329,0.96478192274416,0.9649515666615773,0.9635102123905815
RF,accuracy,"{'clf__class_weight': None, 'clf__n_estimators': 10}",,10,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,20,0.7833546633356141,0.9736431459145161,0.0020128273664786027,0.0009128636942732924,7.696736653645833,0.4922278563516198,4.162797053654988,0.9346237133476659,0.7828255411549162,0.7811969871751374,0.7860414616767889,0.9746382343461075,0.9738578723259878,0.9724333310714528
RF,accuracy,"{'clf__class_weight': None, 'clf__n_estimators': 25}",,25,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,17,0.78491539082979,0.9907657707745333,0.002668897607880059,0.00043803736604018705,8.675710042317709,0.07694470804623664,3.2040843963623047,0.2443418982818388,0.7831308950261248,0.7829273257786523,0.7886879516845927,0.9913651246034574,0.9906017269750793,0.9903304607450635
RF,accuracy,"{'clf__class_weight': None, 'clf__n_estimators': 50}",,50,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,13,0.7894052712581962,0.9924169620738006,0.0025746245704733276,0.00039948849568933483,14.367554585138956,0.18311854045386766,4.386022011439006,0.9164061959230901,0.7885594082920541,0.786761213272715,0.7928951922098192,0.9929597774271803,0.992281201757511,0.9920099070367103
RF,accuracy,"{'clf__class_weight': None, 'clf__n_estimators': 75}",,75,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,14,0.7892582378960077,0.9928693438390802,0.0022600783598032592,0.0004639912344190044,19.609445730845135,0.1515687702506109,5.318356513977051,0.40181743059227565,0.7894754699056796,0.7863880029856823,0.7919112407966613,0.9934856735711741,0.9927562047262796,0.9923661532197869
RF,accuracy,"{'clf__class_weight': None, 'clf__n_estimators': 100}",,100,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,9,0.7902534852815754,0.9929372011182614,0.0026909974999499136,0.00046046180484033783,29.490830580393474,2.022482743411445,5.148334105809529,1.4874524342626747,0.7899843930243604,0.7871004953518355,0.7936755674685305,0.9935365667463993,0.9928579910767299,0.992417045531655
RF,accuracy,"{'clf__class_weight': None, 'clf__n_estimators': 125}",,125,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,10,0.7901403924063644,0.9929711298058163,0.0029751527891064,0.0004660514483053478,29.579480568567913,0.22622149175576609,7.177528699239095,0.42896658082270583,0.7901540340639207,0.7864897876094185,0.7937773555457538,0.9935704955298827,0.9929088842519551,0.992434009635611
RF,accuracy,"{'clf__class_weight': None, 'clf__n_estimators': 150}",,150,0.7872975662716005,0.3948763250883392,0.10013440860215053,0.15975696926375982,5,0.7908528863074006,0.9929711298058163,0.002576717425785664,0.0004660514483053478,38.77015773455302,2.1790735568768134,5.426080226898193,1.582994500454543,0.7910361674696342,0.7876094184705164,0.7939130729820514,0.9935704955298827,0.9929088842519551,0.992434009635611
