"('station', '')","('month', '')","('CLEARSKY_GHI', 'mean')","('CLEARSKY_GHI', 'std')","('GHI', 'mean')","('GHI', 'std')"
BND,1,296.8439949278804,170.08092476384746,202.038442878405,164.67884090137946
BND,2,370.4306754041104,213.18755136877886,274.5676247991898,220.73759326870237
BND,3,454.99834786477146,262.65894892694143,319.47677893813767,265.0879413017559
BND,4,514.4381672217261,300.46532825905774,367.411143589798,308.83379522032817
BND,5,511.82041174262673,313.021994109096,391.8566220139115,314.091221627094
BND,6,517.2133611633866,322.07514909042874,414.2852131759478,325.61606586043456
BND,7,524.3512661929976,317.30427983474164,438.4093677462047,316.5191144967886
BND,8,496.280613367772,298.6858463041733,433.04915008380743,305.2000842230672
BND,9,440.8517237826554,264.364588839461,375.65137614629833,279.178185033573
BND,10,384.06744495621524,224.72246721274314,293.59359387422796,230.19914688383702
BND,11,306.41194793034555,178.95297309526887,212.31871683886956,180.8128711392152
BND,12,268.4475023503885,153.91854180056,146.7936234389988,139.49065421055488
DRA,1,343.364873303918,198.8570060481532,300.8542116375254,201.04217468085832
DRA,2,422.35870998185584,242.2786243839231,384.19624375443306,250.70935125964772
DRA,3,508.37648747298164,290.92155969155596,461.7348374786644,298.2007275321757
DRA,4,572.1666934896285,328.3881581219812,535.6054244948059,338.6798958897795
DRA,5,599.2257171537925,348.2049880011965,563.8290663961765,360.8455550464989
DRA,6,598.2384740004669,354.645958133846,591.3885252869896,365.6200061632721
DRA,7,594.4965719599078,346.76850748202895,535.1232245585402,356.1431247008098
DRA,8,575.3150288059159,328.82443739047807,539.1659468502651,338.8246854206218
DRA,9,528.4712703208814,300.19318214714804,498.90879770727804,306.3761152835791
DRA,10,449.1476013938755,255.77493605997515,406.6468858808585,259.628047460323
DRA,11,361.61872262513066,207.34618854965842,332.54028705105947,211.66774553889056
DRA,12,319.1567095519969,182.06142028101627,267.81255969562505,185.1612803229711
FPK,1,195.81404555285226,119.60049843559958,162.78178334340876,114.3941195497083
FPK,2,282.9756406805185,170.29544101998033,241.67271901863654,173.6004865331277
FPK,3,389.4980068196696,230.55283885671548,320.99319127198737,227.18165236322616
FPK,4,467.3076085234441,278.2433035851898,354.7132108380339,273.53338888807036
FPK,5,510.57414716550795,309.60826997550043,371.3009760260295,306.1660804461601
FPK,6,525.4438030249095,321.4886715692521,407.73280738646986,314.3195369356238
FPK,7,516.1863641473872,313.50341219069446,443.2192322323892,313.7410646153714
FPK,8,482.7104631287268,287.57504541147375,384.8910080903306,281.8390255673057
FPK,9,410.7131397446885,246.42798559788693,334.8728402055232,244.92933635529826
FPK,10,317.85119740772876,189.8262338068617,243.57550097659677,186.82791717627327
FPK,11,215.3704150623266,131.83438451725664,168.12261800632814,128.6736813365519
FPK,12,168.47123926950806,101.80769520387281,127.95191468568648,91.82154131955086
GWN,1,339.84168676084295,196.984812089204,242.06066083426867,209.02323834202946
GWN,2,415.2886699537689,238.8573693932577,271.376306040694,243.4049499730825
GWN,3,495.5057955091597,283.63235048287567,332.86791326282736,286.5162974824673
GWN,4,536.0549636269415,318.2073090541843,377.6212248028911,319.38908615912374
GWN,5,543.8069568469625,327.6930425091975,431.8029830954567,335.440252489047
GWN,6,552.984120835685,325.7479852586771,477.5517720904902,334.6062392067058
GWN,7,533.0387477078872,319.5805403265878,455.9215040709726,328.2023135608173
GWN,8,517.6152626496618,312.6113160535959,442.5201703505726,317.5795174795776
GWN,9,478.51364544705564,291.6814977339057,407.51517038786864,301.21486192531034
GWN,10,429.82314545224204,248.98321360928944,359.481248077668,262.1290676688745
GWN,11,356.9107281929111,207.02830251273795,271.0183564872161,219.70113582063115
GWN,12,313.83922178922336,180.30180487717965,196.17172027130107,182.94255142184315
PSU,1,290.9055672189876,167.38860188573278,171.10321551051015,148.37026262713744
PSU,2,376.04494931010777,213.7430419325748,234.54505912775312,199.05294832889854
PSU,3,453.91235025104044,262.55503650242525,296.6215569070137,256.07665089041427
PSU,4,520.9453655648143,302.4288494935421,345.76680989968696,295.19906815490367
PSU,5,528.3661339736777,322.48843189039235,368.1949292268229,309.9557595166673
PSU,6,526.0328340584982,325.72614687086804,383.4238787932829,310.6397037725009
PSU,7,512.038038026354,319.4049236823971,413.7865442341235,315.76934807529557
PSU,8,494.41892137084824,298.6048473882301,385.6185375454524,293.69331306632546
PSU,9,460.83865255165506,270.5205252444256,334.23261918462964,268.43757806106447
PSU,10,384.63868746468967,225.06795327914188,240.4579937965599,213.0202030684151
PSU,11,296.39401151726565,175.4108223841398,198.3246522861843,172.7688666185152
PSU,12,264.38001325551187,151.0555997637461,124.95488857966023,121.447393906555
TBL,1,312.2754900612155,182.58006602709224,254.65692399062652,179.27188582542016
TBL,2,396.82376204950754,230.64138550550797,326.98445471463083,229.91347712590354
TBL,3,498.25171209022596,286.2348288177382,402.6445163870356,287.26942981336316
TBL,4,564.078350502913,327.5115740488216,426.9906509982662,326.5798789743625
TBL,5,591.9561169642069,350.5861677735398,412.79391066506236,338.6009460615689
TBL,6,595.9537825158353,354.6084123084343,476.53291327449307,352.73771407693926
TBL,7,583.9125583323087,350.4153183206469,444.74961327387064,346.1449874569234
TBL,8,562.4668096390221,330.0881434593396,435.0683860617888,323.3944881417182
TBL,9,508.2224838899906,294.8386400957207,405.7582693667919,297.40838006960513
TBL,10,419.0163160860834,244.77692813854472,334.08120045390564,244.7652297399142
TBL,11,330.75275330267243,192.77678014028058,270.50635566565217,194.55515430526768
TBL,12,283.1608033685631,164.81397280653908,234.65711427234152,161.9031411231155
